state,municipality_agency,document_title,document_date,company_llc_name,extracted_water_metric,extracted_quote,source_url,document_url,local_file_path,source_portal,permit_number,match_term,matched_company,keyword_matches,relevance_score,scraped_at
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Turbidity (Outfall 001, 10/31/2022)",2022-10-31T00:00:00,BROAD RUN WATER RECLAMATION,Turbidity: Dmr Value Nmbr: .05 NTU,Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 10/31/2022 | Parameter: Turbidity | Outfall: 001 | Permit Limit (C2): .5,https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:33:19.041089
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Turbidity (Outfall 001, 11/30/2022)",2022-11-30T00:00:00,BROAD RUN WATER RECLAMATION,Turbidity: Dmr Value Nmbr: .06 NTU,Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 11/30/2022 | Parameter: Turbidity | Outfall: 001 | Permit Limit (C2): .5,https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:33:19.043691
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Turbidity (Outfall 001, 12/31/2022)",2022-12-31T00:00:00,BROAD RUN WATER RECLAMATION,Turbidity: Dmr Value Nmbr: .06 NTU,Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 12/31/2022 | Parameter: Turbidity | Outfall: 001 | Permit Limit (C2): .5,https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:33:19.045534
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Turbidity (Outfall 001, 01/31/2023)",2023-01-31T00:00:00,BROAD RUN WATER RECLAMATION,Turbidity: Dmr Value Nmbr: .06 NTU,Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 01/31/2023 | Parameter: Turbidity | Outfall: 001 | Permit Limit (C2): .5,https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:33:19.047273
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Turbidity (Outfall 001, 02/28/2023)",2023-02-28T00:00:00,BROAD RUN WATER RECLAMATION,Turbidity: Dmr Value Nmbr: .06 NTU,Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 02/28/2023 | Parameter: Turbidity | Outfall: 001 | Permit Limit (C2): .5,https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:33:19.048829
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 10/31/2022)",2022-10-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.4 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 10/31/2022 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:02.618495
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 11/30/2022)",2022-11-30T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 7.3 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 11/30/2022 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:02.621999
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 12/31/2022)",2022-12-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.8 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 12/31/2022 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:02.624341
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 10/31/2022)",2022-10-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.4 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 10/31/2022 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.976356
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 11/30/2022)",2022-11-30T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 7.3 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 11/30/2022 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.979369
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 12/31/2022)",2022-12-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.8 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 12/31/2022 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.981750
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 01/31/2023)",2023-01-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 7.3 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 01/31/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.983985
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 02/28/2023)",2023-02-28T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.6 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 02/28/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.986500
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 03/31/2023)",2023-03-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 7.5 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 03/31/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.989186
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 04/30/2023)",2023-04-30T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.3 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 04/30/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.991174
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 05/31/2023)",2023-05-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 6.5 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 05/31/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.993060
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 06/30/2023)",2023-06-30T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 7.1 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 06/30/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.995005
VA,EPA ECHO,"DMR: BROAD RUN WATER RECLAMATION — Flow, in conduit or thru treatment plant (Outfall 001, 07/31/2023)",2023-07-31T00:00:00,BROAD RUN WATER RECLAMATION,"Flow, in conduit or thru treatment plant: Dmr Value Nmbr: 5 MGD","Facility: BROAD RUN WATER RECLAMATION | Monitoring Period: 07/31/2023 | Parameter: Flow, in conduit or thru treatment plant | Outfall: 001 | Permit Limit (Q1): 11",https://echo.epa.gov/detailed-facility-report?fid=VA0091383,https://echo.epa.gov/detailed-facility-report?fid=VA0091383#cwa-discharge-monitoring,,epa_echo_dmr,VA0091383,EPA ECHO target permit: VA0091383,,,0.00,2026-02-24T05:34:32.996901
VA,Loudoun Water,Annual Comprehensive Financial Report 2024,2024-01-01T00:00:00,,,,https://www.loudounwater.org/about/comprehensive-annual-financial-reports,https://www.loudounwater.org/sites/default/files/LCSA_2024_AnnualReport-Final_0.pdf,,va_loudoun_acfr,,Loudoun Water ACFR — data center water sales,,,0.00,2026-03-16T04:25:22.582670
VA,Loudoun Water,Annual Comprehensive Financial Report 2023,2023-01-01T00:00:00,,,,https://www.loudounwater.org/about/comprehensive-annual-financial-reports,https://www.loudounwater.org/sites/default/files/ACFR%202023_AnnualReport-web_0.pdf,,va_loudoun_acfr,,Loudoun Water ACFR — data center water sales,,,0.00,2026-03-16T04:25:30.059606
VA,Loudoun Water,Annual Comprehensive Financial Report 2022,2022-01-01T00:00:00,,,,https://www.loudounwater.org/about/comprehensive-annual-financial-reports,https://www.loudounwater.org/sites/default/files/LCSA_2022_AnnualReport_FINAL-Web%20version.pdf,,va_loudoun_acfr,,Loudoun Water ACFR — data center water sales,,,0.00,2026-03-16T04:25:37.814913
VA,Loudoun Water,Annual Comprehensive Financial Report 2021,2021-01-01T00:00:00,,,,https://www.loudounwater.org/about/comprehensive-annual-financial-reports,https://www.loudounwater.org/sites/default/files/LCSA_2021_AnnualReport_web_03.2023.pdf,,va_loudoun_acfr,,Loudoun Water ACFR — data center water sales,,,0.00,2026-03-16T04:25:46.906854
VA,Loudoun Water,Annual Comprehensive Financial Report 2020,2020-01-01T00:00:00,,,,https://www.loudounwater.org/about/comprehensive-annual-financial-reports,https://www.loudounwater.org/sites/default/files/LCSA_2020_AnnualReport_Web_0.pdf,,va_loudoun_acfr,,Loudoun Water ACFR — data center water sales,,,0.00,2026-03-16T04:25:54.826381
VA,Prince William County,Customer Bill of Rights,,"Customer Bill of Rights
Prince William Co; Department of Development Services
1. Customers have the right to access initial information, checklists, process
flowcharts, applications and FAQs that are easily and readily available in consistent
locations.
2. Customers have the right to a timely and thorough review of their project, after
providing a complete submission, and shall be provided concise comments with the
Co",,,https://www.pwcva.gov/assets/documents/development/bill-of-rights.pdf,https://www.pwcva.gov/assets/documents/development/bill-of-rights.pdf,data/downloads/virginia/pwc/bill-of-rights.pdf,va_pwc_eservices,,PDF link,,,0.00,2026-03-16T04:26:17.586997
VA,Prince William County,ePortal FAQs,,"Page 1 of 6
5 Co; Complex Co; You can search for status and other basic information on construction and land permits, search
for a plan, search for a code case, and view the hearings and meetings calendar.
Page 2 of 6
5 Co; Global Co; Directory.
Page 3 of 6
5 Co; Apply button.
Page 4 of 6
5 Co; Ensure the payment option box is checked on the permit application.
Page 5 of 6
5 Co; In addition, you should be able to see the 2-hour window of the inspection. See video and
user guide for instructions. You can view without an account.
Page 6 of 6
5 Co",,,https://www.pwcva.gov/assets/2021-04/eportal_faqs.pdf,https://www.pwcva.gov/assets/2021-04/eportal_faqs.pdf,data/downloads/virginia/pwc/eportal_faqs.pdf,va_pwc_eservices,,PDF link,,,0.00,2026-03-16T04:26:22.488635
VA,Prince William County,Building ePlans Guide,,"Aligned; Residential projects completed by a contractor must be submitted electronically, only homeowner
projects will be accepted as a paper submission. The Co; File names meet the File Naming Co; Page 1 of 4
Expedited Plan Review Program
5 Co; Complex Co; Development Services
Building Development Division
Co; AutoCAD - Create Bookmarks for Sheets and Views
Page 2 of 4
Expedited Plan Review Program
5 Co; Please note, if the print to pdf option is used to remove layers, bookmarks will also be removed.
Locked Plans
Please ensure plans are not locked to allow digital Co; File Naming Co; Files for the first submission, resubmissions, and revisions shall be named in accordance with Table 4
below.
Table 4. File Naming Co; Document Submission Filename
Building Development
First Submission Original name from Co; Add to the original filenames
above the revision number
Page 3 of 4
Expedited Plan Review Program
5 Co; Development Services
Building Development Division
Fees
Review fees will be invoiced after the submission has passed Quality Co; Page 4 of 4
Expedited Plan Review Program
5 Co",,,https://www.pwcva.gov/assets/2021-04/customereplansguide.pdf,https://www.pwcva.gov/assets/2021-04/customereplansguide.pdf,data/downloads/virginia/pwc/customereplansguide.pdf,va_pwc_eservices,,PDF link,,,0.00,2026-03-16T04:26:29.767683
VA,Prince William County,Fire Marshal ePlan Guide,,"In response to COVID-19, Prince William Co; A full guide for ePlan submission can be found here.

Fire Marshal Office ePlan
Presentation
Getting Started
ePortal
Submission and File Requirements
Quality Co; Code Co; Fire Protection Permit Application
o
FMO ePlan QA Checklist
o

Preparing for Submission, Co; Preparing for Submission, Co; Verify the security features prior to
submitting by accessing the documents
applied.
security screen in your pdf reader

Preparing for Submission, Co; Plans and documents shall be digitally credentialed with an
engineer's seal or NICET certification.

Preparing for Submission, Co; Quality Co; Review

QC Review
QC Review Process QC Co",,,https://www.pwcva.gov/assets/documents/development/FMO ePlans Guide.pdf,https://www.pwcva.gov/assets/documents/development/FMO ePlans Guide.pdf,data/downloads/virginia/pwc/FMO_ePlans_Guide.pdf,va_pwc_eservices,,PDF link,,,0.00,2026-03-16T04:26:37.707927
VA,Prince William County,Photocopy Charges,,,,,https://www.pwcva.gov/assets/2021-04/photo_copy_charges_list.pdf,https://www.pwcva.gov/assets/2021-04/photo_copy_charges_list.pdf,data/downloads/virginia/pwc/photo_copy_charges_list.pdf,va_pwc_eservices,,PDF link,,,0.00,2026-03-16T04:26:44.338450
VA,Prince William Water,Prince William Water Industrial User Survey — March 2024,2024-03-01T00:00:00,"Meta; General
1. Company; City, State, and Zip Co; Person Providing the Information Co; SIC Co; Cooling Water, Non-contact
Co; Water, Co; Cooling Tower Blow-down
Air Pollution Co; Soap and detergent manufacturing
Co; Mobile washwater services
Paints, Co; If the response is Yes to any chemical, indicate
whether a discharge, disposal, or release to the
sewer system has occurred.
Chemical
Release to
Yes No Discharge Disposal Sewer
System
Fluorinated Chemicals
Stain or Water Repellents
Mist Suppressants or Co; Products
Surfactants
Dispersants
Anti-adhesives or Non-stick Agents
Friction Co; Electrostatic Co; Agents
Heat Resistant or Co; Toxic Substances Co; Number Principal Chemical Co; Batch Co; To Sanitary Sewer
a. Process
b. Sanitary
c. Co; To Storm Sewer
To Surface Water
To Ground Water
To Waste Hauler
To Evaporation
Co; Regulatory Co",,,https://princewilliamwater.org/sites/default/files/IUS_March%202024.pdf,https://princewilliamwater.org/sites/default/files/IUS_March%202024.pdf,data/downloads/va/prince-william-water/pwc_ius_2024.pdf,va_pwc_ius,,Prince William Water Industrial User Survey — data center ERU allocations,,Cooling Tower; gallons per day; gpd; discharge,0.40,2026-03-16T04:27:02.001999
OH,Ohio EPA,"eDocument Search
	
QUICK LINKS
Learn to do a Successful Search
Review Frequently Asked Questions
Learn About Ohio's Public Records Law
Submit a Public Records Request or Request a File Review
Report Technical Difficulties or Suggest Improvements
Contact Ohio EPA's Public Records Manager",,"Secondary ID
b. Entity Name
c. Co; Search button on
the bottom of the page.
c. Add multiple search fields for each keyword by selecting the plus sign button next to the question
mark to the right of the keyword field. For example, a search can be done for multiple counties by
selecting Cuyahoga Co; XYZ Co.; XYZ Company; XYZ, LLC",,,http://epa.ohio.gov/static/Portals/33/documents/eDocument+Basic+user+search+tips.pdf,http://epa.ohio.gov/static/Portals/33/documents/eDocument+Basic+user+search+tips.pdf,data/downloads/ohio/epa/oh_epa_oh-epa-0-data-center.pdf,oh_epa_edocument,,Ohio EPA full-text search: 'data center',,,0.00,2026-03-16T04:27:38.716350
OH,Ohio EPA,"From Date:


	To Date:",,,,,https://edocpub.epa.ohio.gov/publicportal/edochome.aspx,,,oh_epa_edocument,,Ohio EPA full-text search: 'data center',,,0.00,2026-03-16T04:27:42.365207
OH,Ohio EPA,SuMoTuWeThFrSa,,,,,https://edocpub.epa.ohio.gov/publicportal/edochome.aspx,,,oh_epa_edocument,,Ohio EPA full-text search: 'data center',,,0.00,2026-03-16T04:27:46.019479
OH,Ohio EPA,22232425262728,,,,,https://edocpub.epa.ohio.gov/publicportal/edochome.aspx,,,oh_epa_edocument,,Ohio EPA full-text search: 'data center',,,0.00,2026-03-16T04:27:48.931282
OH,Ohio EPA,891011121314,,,,,https://edocpub.epa.ohio.gov/publicportal/edochome.aspx,,,oh_epa_edocument,,Ohio EPA full-text search: 'data center',,,0.00,2026-03-16T04:27:52.766349
OH,Columbus City Council,"PN0109-2026: Notice/Advertisement Title: Public Utilities and Sustainability Committee: Data Center Hearing Minutes
Contact Name: Chelsea Golterman
Contact Telephone Number: 614-645-3091
Contact Email Address: CLGolterman",2026-03-12T00:00:00,,,,https://columbus.legistar.com/LegislationDetail.aspx?ID=136745,,,oh_columbus_legistar,,"Legistar API: substringof('data center',MatterTitle)",,,0.00,2026-03-16T04:28:20.095103
OH,Columbus City Council,"PN0062-2026: Notice/Advertisement Title: Public Utilities and Sustainability Committee Hearing: Data Centers
Contact Name: Chelsea Golterman
Contact Telephone Number: 614-645-3091
Contact Email Address: CLGolterman@columbus.gov",2026-02-11T00:00:00,,,,https://columbus.legistar.com/LegislationDetail.aspx?ID=136380,,,oh_columbus_legistar,,"Legistar API: substringof('data center',MatterTitle)",,,0.00,2026-03-16T04:28:29.407966
OH,Columbus City Council,"3069-2024: To authorize the Director of Finance and Management, on behalf of the Department of Technology, to enter into contract with Mako Power LLC for the purchase and installation of two hundred and thirty-two (232) UPS batteries, and subsequent environmentally sound disposal of aged UPS Batteries at Data Center West; to authorize the expenditure of up to $66,044.00 from the Information Services Division’s Operating Fund; and to declare an emergency.  ($66,044.00)",2024-11-01T00:00:00,,,,https://columbus.legistar.com/LegislationDetail.aspx?ID=131830,https://legistar3.granicus.com/Columbus/attachments/5f727f9a-9c3e-4643-92b7-c30961328103.xlsx,data/downloads/ohio/columbus/RFQ028877_DoT_DCWest_UPS_Battery_Replacement_2024_Bid_Tabulation_Report,oh_columbus_legistar,,"Legistar API: substringof('data center',MatterTitle)",,,0.00,2026-03-16T04:28:37.454471
